id,prompt,canonical,total,without_comments
0,12,9,21,10
1,12,18,30,17
2,12,2,14,3
3,13,9,22,9
4,13,3,16,5
5,11,13,24,11
6,12,14,26,14
7,11,2,13,4
8,12,8,20,9
9,10,13,23,12
10,20,10,30,10
11,10,8,18,9
12,14,8,22,9
13,10,4,14,5
14,9,6,15,7
15,10,2,12,3
16,10,2,12,3
17,17,3,20,5
18,12,8,20,7
19,11,14,25,16
20,12,17,29,17
21,10,4,14,6
22,11,2,13,4
23,10,2,12,3
24,8,4,12,5
25,15,14,29,15
26,10,4,14,6
27,8,2,10,3
28,11,2,13,4
29,11,2,13,4
30,10,2,12,3
31,20,7,27,8
32,24,12,36,16
33,12,4,16,5
34,8,2,10,3
35,10,6,16,7
36,12,10,22,11
37,12,10,22,11
38,18,2,20,7
39,17,17,34,17
40,20,7,27,8
41,15,2,17,3
42,10,2,12,3
43,19,6,25,7
44,14,6,20,7
45,8,2,10,3
46,18,10,28,9
47,10,6,16,7
48,15,5,20,6
49,16,5,21,6
50,14,2,16,5
51,19,2,21,3
52,10,5,15,6
53,10,2,12,3
54,19,2,21,3
55,12,6,18,7
56,16,10,26,11
57,12,4,16,5
58,11,7,18,8
59,10,13,23,14
60,16,2,18,3
61,16,10,26,11
62,12,2,14,3
63,17,8,25,9
64,18,6,24,8
65,11,6,17,7
66,15,3,18,4
67,15,6,21,7
68,36,5,41,6
69,13,11,24,10
70,13,7,20,8
71,13,7,20,8
72,20,11,31,11
73,13,6,19,7
74,16,13,29,12
75,10,15,25,15
76,14,7,21,8
77,15,3,18,4
78,20,7,27,8
79,14,2,16,3
80,14,9,23,8
81,27,32,59,31
82,11,8,19,9
83,7,3,10,4
84,16,2,18,3
85,9,2,11,3
86,15,2,17,3
87,22,3,25,4
88,17,2,19,3
89,13,9,22,10
90,13,3,16,4
91,14,4,18,5
92,20,7,27,7
93,16,5,21,6
94,15,16,31,15
95,14,23,37,23
96,13,12,25,12
97,12,2,14,3
98,11,6,17,7
99,20,21,41,17
100,16,2,18,3
101,11,14,25,12
102,11,8,19,9
103,13,7,20,8
104,14,6,20,7
105,24,20,44,21
106,11,12,23,13
107,25,13,38,12
108,12,8,20,9
109,29,13,42,13
110,15,13,28,13
111,15,14,29,13
112,13,3,16,4
113,14,6,20,7
114,10,12,22,13
115,37,2,39,4
116,13,2,15,3
117,15,11,26,11
118,17,10,27,10
119,17,15,32,15
120,27,6,33,7
121,11,2,13,3
122,16,2,18,3
123,19,15,34,14
124,22,17,39,17
125,12,7,19,8
126,18,12,30,11
127,22,17,39,17
128,14,4,18,5
129,32,28,60,24
130,19,10,29,11
131,10,12,22,13
132,15,19,34,18
133,16,6,22,7
134,15,4,19,4
135,12,8,20,9
136,14,4,18,5
137,14,6,20,7
138,9,2,11,3
139,14,7,21,8
140,13,21,34,22
141,16,15,31,16
142,15,10,25,11
143,22,12,34,13
144,14,8,22,9
145,13,8,21,9
146,10,11,21,10
147,16,9,25,10
148,18,10,28,11
149,17,7,24,8
150,11,9,20,10
151,14,2,16,3
152,17,2,19,3
153,19,12,31,11
154,12,8,20,9
155,9,9,18,10
156,13,15,28,16
157,12,2,14,3
158,12,2,14,3
159,31,5,36,6
160,27,5,32,6
161,13,15,28,16
162,9,3,12,4
163,12,5,17,5
